Abstract;Year
THE RESULTS OF 62 EXTERNAL RHINOPLASTY OPERATIONS;1993
ORBITAL ABSCESS AFTER RHINOPLASTY;1994
Method for middle vault reconstruction in primary rhinoplasty: Upper lateral cartilage bending;1997
Linear scleroderma after rhinoplasty;1998
The lapel technique - Reply;1998
An unusual complication of rhinoplasty: subcutaneous emphysema;1998
Alloderm used in rhinoplasty;2001
A simple device to support eyeglasses after rhinoplasty;2001
Recurrent bleeding following rhinoplasty due to factor XIII deficiency;2001
An unexpected complication after rhinoplasty: Pneumothorax;2002
Chin augmentation with conchal cartilage;2003
Breathing or ventilation via a mouth mask for rhinoplasty operations in the early postanaesthetic period;2003
Unexpected events during nasal cavity and paranasal sinus surgery: Malpractice or complication? 5 case presentations.;2003
Grafting the nasal dorsum with tandem ear cartilage;2004
A painful neuroma in the nose following aesthetic rhinoplasty;2004
Stress-related gastric bleeding after rhinoplasty;2004
Skin ulcers after rhinoplasty in a patient with Behcet disease;2004
Skin graft mesher: An easy method of carthage graft dicing;2004
Diced cartilage grafts in rhinoplasty;2005
Diced cartilage grafts in rhinoplasty surgery;2005
Anatomical limits in the cleansing of the nasal cavity in rhinoplasty surgery;2005
Extrusion of autologous septal cartilage graft after rhinoplasty;2006
Spongostan used as a carrier for diced cartilages in rhinoplasties;2006
Rhinoplasty of a patient with congenital lacrimal fistula;2006
Xanthelasma palpebrarum after septorhinoplasty;2006
Multifragmented cartilage wrapped with fascia in augmentation rhinoplasty;2006
Endonasal placement of spreader grafts;2007
Histological analysis of human diced cartilage grafts;2007
Decreased acne symptoms as a perception of rhinoplasty success;2007
Leiomyoma of the nasal dorsum and excision with open rhinoplasty approach;2007
Use of 6-year-old preserved autogenous septal cartilage in secondary rhinoplasty;2007
A rare but disturbing complication of rhinoplasty: Rhinorrhea;2008
Uvula necrosis after endotracheal intubation for rhinoplasty;2008
Loop Drainage Tube for Reduction of Edema and Ecchymosis After Rhinoplasty;2008
Allogenic cartilage graft versus autogenous cartilage graft in augmentation rhinoplasty: A decade of clinical experience;2008
Selecting the Osteotome in Rhinoplasty;2009
Rhinoplasty at the Global Crossroads;2009
