Abstract;Year
Computational Thinking [1] is a universal metaphor of reasoning used by both mankind and machines. From this perspective it has the potential to be a comprehensive umbrella for capturing the intrinsic nature of computing and conveying this in an understandable way to students and the general public. It represents a broad spectrum of reasoning across time and disciplines. Learning to count is a beginning of human computational thinking, followed naturally by arithmetic computation and abstract levels of symbol based thinking, often starting with algebra. Counting, arithmetic, symbols and abstract thinking are fundamental to the study of computing. Computational reasoning is the core of all modern Science, Technology, Engineering and Mathematics (STEM) disciplines and is intrinsic to all other disciplines from A to Z. It is used in our everyday lives from baking a cake, changing a tire or brushing our teeth. The human brain is wired to think computationally, as are modem computing devices. As educators, a Computational Thinking perspective can help us to convey fundamental computing ideas to all students. This special session will outline the principles of Computational Thinking, offer suggestions on ways to promote Computational Thinking at all educational levels, and provide ample time for audience participation and discussion.;2007
In this paper, the design and implementation of a novel introductory computer science course for non-majors is presented. This course focuses on the major contributions in computer science from the perspective of the process of computation. This course differs from most introductory courses in computer science in that it does not include programming using a computer programming language. Students focus on algorithms and the principle of computational thinking, and use a flowchart simulator to experiment with various short algorithms and build simple computer games without dealing with programming language syntax. Steadily increasing enrollments and interest from various departments on campus indicate that this course has become a successful addition to our introductory CS offerings.;2007
In this paper, we describe a pilot summer workshop (CS4HS) held at Carnegie Mellon University in July 2006 for high school CS teachers to provide compelling material that the teachers can use in their classes to emphasize computational thinking and the many possibilities of computer science. Diversity and broadening participation was explicitly addressed throughout the workshop. We focused on broadening the image of what CS is - and who computer scientists are - since the reasons for under-representation in the field are very much the same as the reasons for the huge decline in interest. We describe the design of the workshop along with results from initial surveys and evaluations. Short-term evaluations show that this workshop was successful in changing the perception of CS for these teachers and giving them the impetus to include broader topics in their programming courses for the upcoming school year. Future surveys will track the long-term effect of this workshop.;2007
The exhibition Speculative Data and the Creative Imaginary: shared innovative visions between art and technology will bring together examples of best practices in creative digital media art and design that foster strong ties to current research trends in computer science and engineering. Exhibited works align with the 2007 ACM Creativity and Cognition conference themes: cultivating creative minds, sustaining creative communities and promoting creative engagement as they demonstrate innovative, novel, sometimes provocative and other times promising models for research in the design of interactive human centered applications, technology innovation, aesthetic expression, and social critique. [1] This is a timeless opportunity to connect the larger ACM Creativity and Cognition conference community of researchers and university faculty with a community of creative thinkers who share research interests across human centered computing, technology development, and scientific discoveries. The exhibition is hosted by the National Academy of Sciences Exhibitions and Cultural Programs and will be held at the National Academy of Sciences Rotunda Gallery, 2100 C Street NW, Washington D.C. from June 4(th) to August 24(th), 2007.;2007
The fifth annual graduate consortium at VL/HCC addresses the question: How can researchers and designers of end-user development environments better address the needs of an increasingly diverse population?.;2007
The human culture and cognition are consequence of the thinking capability of human, and thinking is a social activity. People have similar idea and opinion interacts, and interactions force people to have similar idea and interaction take place locally. However, its effect is global. In this study, we try to determine / define the computational thinking for Saplings Growing up Algorithm (SGuA) which belongs to evolutionary algorithms. Thinking capability can be defined based on the process interaction for similar solutions. SGuA has four operators: mating, branching, vaccinating and surviving. We determined the computational thinking capability for each operator. Finally, we determined computational thinking capability of SGuA.;2007
Computational thinking (CT) is a way to solve problems and understand complex systems that draws on concepts fundamental to computer science and is well suited to the challenges that face researchers of complex, linked social-ecological systems. This paper explores CT's usefulness to sustainability science through the application of the services-oriented architecture (SOA). The SOA is a popular organizational framework in information technology that enables businesses to describe the services they offer, including how, where, to whom, and under what terms these services are available to consumers. It provides a straightforward, scalable, and portable way to describe and organize complex business systems, with an emphasis on system controls and component interactions rather than on the system components themselves. Here, we present the SOA as a path to a more mature ecosystem services concept, in support of integrated assessment frameworks such as the Millennium Ecosystem Assessment (MA). With the SOA we capture important interrelationships among ecosystems, ecosystem service consumers, and ecosystem service governance authorities, particularly the effects of their interactions on the viability of ecosystem services. By standardizing the description and relationships involving ecosystem services, the SOA supports a diagnostic approach for evaluating stability and change in ecosystem service use across both space and time, when influenced by drivers of social, political, and/or ecological change, whether directional or stochastic, planned or otherwise. We present here a prototype of the SOA and illustrate its utility with an example from rural Alaskan communities.;2008
Computational thinking will influence everyone in every field of endeavour. This vision poses a new educational challenge for our society, especially for our children. In thinking about computing, we need to be attuned to the three drivers of our field: science, technology and society. Accelerating technological advances and monumental societal demands force us to revisit the most basic scientific questions of computing.;2008
In many introductory programming courses, the surface features of the programming language can distract and intimidate students so much that they fail to concentrate on what is really the brainy task: solving the problem conceptually. To counter this, we devised a form of structured pseudocode, designed to highlight and facilitate algorithmic construction so that the complexities of the programming language can be deferred until proficiency in design has been reached. Students taught with this experimental approach are not introduced to the language itself, or the compiler, until the last few weeks of the semester. A controlled experiment comparing this approach with a traditional language-based pedagogy has revealed that by the end of the course, students' programming skills, even on language-specific tasks, is every bit as strong as students taught traditionally, and that their comfort level with modularity (writing functions) is increased. Additionally, we found that students appear to strongly prefer such an approach, citing mostly emotive benefits, and that these effects may be particularly strong among women.;2008
In this paper, a learning and teaching framework is described which is aimed at increasing student interest in studying computer science as a discipline, or at least in better understanding how a computer and its tools work and can be used in solving problems which may occur in different areas. In the beginning of information education in Poland, in the mid 80's, the informatics curricula for schools and teaching were focused on computer science. Then, in the beginning of the 90's, with the growing popularity and wide use of end-user friendly software, the emphasis in education has moved from computer science to information technology, from constructing computer solutions to using ready-made tools, from computer science for some students to information technology for all. We demonstrate here, however, how teaching and learning information technology can be used to enhance algorithmic and computational thinking in solving with computers, problems which arise in various school subjects, learning disciplines and in real life. We strongly believe that the learning methodology presented here, about computer use by students and applying computers and information technology to solving problems, would be a good motivation and preparation for their future decisions to study computing and become computer specialists.;2008
