Source,Target,Timestamp
0,923,2022
0,1201,2022
0,9965,2022
923,1201,2022
923,9965,2022
1201,9965,2022
1,3747,2022
1,3563,2022
3747,3563,2022
2,3175,2022
2,6980,2022
2,9966,2022
3175,6980,2022
3175,9966,2022
6980,9966,2022
3,1301,2022
3,6981,2022
3,9967,2022
3,10658,2022
1301,6981,2022
1301,9967,2022
1301,10658,2022
6981,9967,2022
6981,10658,2022
9967,10658,2022
4,2563,2005
4,947,2005
4,9968,2005
4,12257,2005
4,2353,2005
2563,947,2005
2563,9968,2005
2563,12257,2005
2563,2353,2005
947,9968,2005
947,12257,2005
947,2353,2005
9968,12257,2005
9968,2353,2005
12257,2353,2005
5,6,2018
5,9969,2018
5,12258,2018
6,9969,2018
6,12258,2018
9969,12258,2018
6,3748,2021
6,6982,2021
6,3849,2021
6,12259,2021
3748,6982,2021
3748,3849,2021
3748,12259,2021
6982,3849,2021
6982,12259,2021
3849,12259,2021
7,258,2022
7,1848,2022
7,7869,2022
7,2578,2022
7,13684,2022
258,1848,2022
258,7869,2022
258,2578,2022
258,13684,2022
1848,7869,2022
1848,2578,2022
1848,13684,2022
7869,2578,2022
7869,13684,2022
2578,13684,2022
8,2119,2015
8,6983,2015
8,9970,2015
8,12260,2015
2119,6983,2015
2119,9970,2015
2119,12260,2015
6983,9970,2015
6983,12260,2015
9970,12260,2015
9,1848,2022
10,3749,2018
10,6984,2018
10,3636,2018
3749,6984,2018
3749,3636,2018
6984,3636,2018
11,2651,2023
11,479,2023
11,9971,2023
2651,479,2023
2651,9971,2023
479,9971,2023
12,3750,2022
12,4502,2022
12,9972,2022
12,3441,2022
3750,4502,2022
3750,9972,2022
3750,3441,2022
4502,9972,2022
4502,3441,2022
9972,3441,2022
13,3751,2016
13,6985,2016
13,9973,2016
3751,6985,2016
3751,9973,2016
6985,9973,2016
14,3752,2022
14,3898,2022
14,9974,2022
3752,3898,2022
3752,9974,2022
3898,9974,2022
15,6986,2023
15,3,2023
15,12261,2023
6986,3,2023
6986,12261,2023
3,12261,2023
15,3724,2017
15,3174,2017
15,1399,2017
15,3654,2017
3724,3174,2017
3724,1399,2017
3724,3654,2017
3174,1399,2017
3174,3654,2017
1399,3654,2017
16,349,2021
16,2353,2021
16,12262,2021
349,2353,2021
349,12262,2021
2353,12262,2021
17,18,2018
17,6987,2018
17,12263,2018
18,6987,2018
18,12263,2018
6987,12263,2018
18,3753,2010
18,6988,2010
3753,6988,2010
19,3754,2022
19,3588,2022
19,3620,2022
19,3636,2022
3754,3588,2022
3754,3620,2022
3754,3636,2022
3588,3620,2022
3588,3636,2022
3620,3636,2022
19,886,2022
19,2511,2022
19,9975,2022
19,3131,2022
19,3240,2022
19,14204,2022
19,14430,2022
886,2511,2022
886,9975,2022
886,3131,2022
886,3240,2022
886,14204,2022
886,14430,2022
2511,9975,2022
2511,3131,2022
2511,3240,2022
2511,14204,2022
2511,14430,2022
9975,3131,2022
9975,3240,2022
9975,14204,2022
9975,14430,2022
3131,3240,2022
3131,14204,2022
3131,14430,2022
3240,14204,2022
3240,14430,2022
14204,14430,2022
19,3755,2008
19,3243,2008
3755,3243,2008
20,128,2020
20,2776,2020
20,9976,2020
20,1127,2020
20,2288,2020
128,2776,2020
128,9976,2020
128,1127,2020
128,2288,2020
2776,9976,2020
2776,1127,2020
2776,2288,2020
9976,1127,2020
9976,2288,2020
1127,2288,2020
20,1890,2020
20,6989,2020
20,9977,2020
20,12264,2020
20,13685,2020
20,3654,2020
1890,6989,2020
1890,9977,2020
1890,12264,2020
1890,13685,2020
1890,3654,2020
6989,9977,2020
6989,12264,2020
6989,13685,2020
6989,3654,2020
9977,12264,2020
9977,13685,2020
9977,3654,2020
12264,13685,2020
12264,3654,2020
13685,3654,2020
21,3756,2020
21,6990,2020
21,8894,2020
3756,6990,2020
3756,8894,2020
6990,8894,2020
22,3757,2018
22,6991,2018
22,9978,2018
3757,6991,2018
3757,9978,2018
6991,9978,2018
23,349,2020
23,1366,2020
