1;2;3;4;5;6;7;8;9
G06Q50/20;;;;;;;;
G09B5/04;;;;;;;;
G09B5/06;;;;;;;;
G09B19/00;G09B5/02;;;;;;;
G06Q10/06;;;;;;;;
G06Q50/20;G09B7/02;;;;;;;
G09B19/22;;;;;;;;
G16H20/00;;;;;;;;
G06F11/14;G06F9/4401;G06F9/445;G09B5/08;;;;;
G09B5/06;;;;;;;;
G06Q50/20;G09B3/00;;;;;;;
G06Q10/10;G06Q50/20;;;;;;;
G06F17/24;;;;;;;;
A63B22/16;A63B22/18;A63B26/00;A63B23/02;A63B71/00;;;;
G09B19/18;G09B5/00;;;;;;;
G09B5/06;G09B7/00;;;;;;;
G06Q10/06;G06Q10/10;G06Q30/00;G06Q50/20;;;;;
A43B3/00;A43B3/30;A43B13/00;G09B5/04;;;;;
G09B5/06;G09B5/08;H04L29/06;;;;;;
G09B19/00;;;;;;;;
G09B19/00;;;;;;;;
G06F16/953;G06Q10/06;G06Q50/20;;;;;;
A63F13/52;A63F13/55;A63F13/60;G09B5/02;G09B5/04;G09B5/06;;;
G06Q50/20;H04L29/08;;;;;;;
G06Q50/20;G09B5/14;;;;;;;
G06Q50/20;;;;;;;;
G06Q50/20;;;;;;;;
G06Q50/20;;;;;;;;
G06F3/01;G06T19/00;G09B23/28;G09B9/00;H04L12/18;;;;
G06Q50/20;;;;;;;;
G16H20/70;;;;;;;;
A63F7/02;A63F7/30;A63F7/36;G09B19/02;;;;;
G06F16/36;G06N20/00;G06Q50/20;;;;;;
G06Q50/20;H04L29/08;;;;;;;
G06Q50/20;;;;;;;;
G06Q50/10;G06Q50/20;G11B20/10;;;;;;
G06Q10/06;G06Q50/20;;;;;;;
G06Q50/20;;;;;;;;
G06Q50/20;H04L29/08;;;;;;;
G09B5/06;H05K5/02;;;;;;;
A01G25/16;A01G9/02;;;;;;;
G09B5/02;H05K5/02;H05K7/20;;;;;;
G09B5/08;G09B7/00;;;;;;;
G06F16/955;G06F16/958;G06Q30/02;G06Q50/20;;;;;
G06F16/26;G06F16/28;G06Q10/06;G06Q50/20;;;;;
G06Q30/00;G06Q50/20;G09B5/14;;;;;;
G06Q10/06;G06Q50/20;;;;;;;
G01S19/42;G09B5/08;H04N21/2187;H04N7/18;;;;;
G06Q50/20;G09B19/00;G09B5/14;G09B7/02;;;;;
G06F16/906;G06Q10/06;G06Q50/20;;;;;;
G06Q50/20;G09B5/14;G09B7/02;;;;;;
G06F16/903;G06F16/9038;G06F16/906;G06F21/62;G06Q50/20;;;;
G06F16/953;G06Q50/20;;;;;;;
G09B19/00;G09B5/06;G09B5/08;;;;;;
G06Q50/20;G09B5/06;;;;;;;
G06Q50/20;G09B5/00;;;;;;;
G06K9/00;G06Q50/20;G07C1/10;H04L29/08;;;;;
G06Q50/20;G09B5/14;;;;;;;
A61L9/00;F24F5/00;F24F8/00;G09B5/00;;;;;
G09B5/06;G09B5/14;;;;;;;
G06Q50/20;H04L29/08;;;;;;;
G06F16/901;G06Q50/20;;;;;;;
G06Q50/20;G09B5/12;G09B5/14;G09B7/00;;;;;
G06Q10/06;G06Q50/20;;;;;;;
G09B5/08;G09B7/00;;;;;;;
G06Q10/10;G06Q50/20;;;;;;;
G06Q10/10;G06Q50/20;;;;;;;
F16M11/04;F16M11/10;F16M11/18;F16M11/24;G09B5/02;;;;
G06F16/28;G06F16/9535;G06Q30/06;G06Q40/00;G06Q50/20;;;;
G09B5/14;;;;;;;;
G09B5/08;;;;;;;;
G09B5/06;;;;;;;;
A47B19/00;;;;;;;;
G09B19/00;;;;;;;;
G09B5/04;G10K11/16;;;;;;;
G06Q50/20;G09B5/06;G09B5/08;H04N21/231;H04N21/232;H04N21/475;H04N5/268;;
G06F40/40;G06Q50/20;G09B5/06;;;;;;
G09B5/06;;;;;;;;
G06F16/182;G09B5/14;;;;;;;
G06F1/16;G06F1/18;G06F16/953;G06F21/88;G06Q50/20;H04L29/08;H04W4/30;;
G06Q10/06;G06Q40/04;G06Q50/20;;;;;;
G06Q50/20;G09B7/02;;;;;;;
G09B5/06;H04N21/25;H04N21/258;H04N21/45;H04N21/466;;;;
G06Q10/06;G06Q30/06;G06Q50/20;;;;;;
G06Q50/20;G06T13/40;G09B5/02;G09B7/02;;;;;
A63H3/02;A63H3/36;A63H33/00;;;;;;
G06F16/27;G06N3/02;G06Q50/20;;;;;;
G09B11/10;G09B19/02;;;;;;;
B43L21/02;G09B5/02;H05K7/20;;;;;;
A47B39/02;A47B83/02;F21S6/00;;;;;;
G06Q50/20;;;;;;;;
A63H33/00;G09B19/02;;;;;;;
B08B1/00;G06F1/18;G06F1/20;;;;;;
G06Q50/20;G09B7/02;;;;;;;
G06Q10/10;G06Q50/20;G09B5/12;G09B7/02;;;;;
G06Q50/20;;;;;;;;
G09B5/06;;;;;;;;
G06Q10/10;G06Q50/20;G09B5/02;;;;;;
G09B5/14;;;;;;;;
G06F3/14;G06Q50/26;;;;;;;
A47B27/00;A47B37/00;A47B97/00;G09B19/00;;;;;
A47B13/02;A47B41/00;A47B9/20;A47B97/00;G06F16/25;G06K17/00;G08B21/24;G08B7/06;
G06Q50/20;G09B5/14;G09B7/02;;;;;;
G09B19/00;;;;;;;;
A47B21/00;A47B97/00;G06K9/00;G08B21/24;G08B7/06;G09B5/14;H04L29/08;H04N5/232;H04N7/18
G06F16/9032;G06F40/30;G06Q50/20;G09B5/00;;;;;
A63B23/04;;;;;;;;
E04H15/02;E04H15/10;E04H15/34;;;;;;
G09F15/00;;;;;;;;
H04L29/06;H04L29/08;;;;;;;
G06K17/00;G06Q50/20;;;;;;;
G06F30/20;G06Q50/20;G09B9/00;;;;;;
G09B5/02;G09B5/12;G06Q10/06;G09B5/00;G09B5/08;H04L29/06;;;
G06Q50/20;G09B7/02;;;;;;;
G06Q30/06;G06Q50/20;;;;;;;
G09B5/06;;;;;;;;
G09B5/12;G09B7/02;;;;;;;
G06K9/00;G09B5/14;G09B7/02;;;;;;
G09B5/06;H04N5/222;H04N5/76;;;;;;
G06F8/34;G06F8/38;;;;;;;
G09B15/02;;;;;;;;
G09B5/08;;;;;;;;
G09B19/00;G09F7/18;G09F7/20;G09F7/22;;;;;
G09B15/00;G10H1/00;;;;;;;
A61L2/10;A61L2/26;B08B17/04;G09B5/02;;;;;
G06T13/80;;;;;;;;
G09F7/10;G09F7/18;;;;;;;
G06Q50/20;H04L29/06;H04L29/08;;;;;;
F16M11/10;F16M11/18;F16M11/28;H04N5/225;;;;;
G09B5/06;H04N21/41;H04N21/426;H04N21/61;;;;;
G06Q10/10;G06Q50/20;;;;;;;
B25J9/16;;;;;;;;
B44D3/18;;;;;;;;
G06F16/2458;G06F16/25;G06Q50/20;;;;;;
G06F3/01;;;;;;;;
