Abstract;Year;Yil
Telerehabilitation-the use of telecommunications technology to provide rehabilitation and long-term support to people with disabililies-offers exciting possibilities for the delivery and support of assistive technology services. This article describes the experiences of a specialty hospital serving persons with disabilities in exploring telerehabilitation to support assistive technology use in the home. Four case studies are presented to illustrate how telerehabilitation may be used in relation to seating evaluation, evaluation of home accessibility, setup of computer access systems, and training in use of augmentative communication devices.;1998;1
A PC-based orthopedic rehabilitation system was developed for use at home, while allowing for remote monitoring from the clinic. The home rehabilitation station has a Pentium II PC with graphics accelerator, Polhemus tracker, and a novel Multipurpose Haptic Control Interface with its own Pentium board. This interface is used to sample patient's hand positions and to provide resistive forces using the Rutgers Master II (RMII) glove. A library of virtual rehabilitation routines was developed using WorldToolKit software. At the present time, it consists of two physical therapy exercises (DigiKey and Ball) and two functional rehabilitation exercises (Peg Board test and Ball game). All VR exercises allow automatic and transparent patient data collection into an Oracle database. A remote Pentium II PC is connected with the home-based PC over the Internet and an additional videoconferencing connection. The remote computer running Oracle server is used to maintain the patient database, monitor progress and change exercise level of difficulty. This allows for timely patient progress monitoring and repeat evaluations over time from the Clinic. The system will soon start clinical trails at Stanford Medical School, with progress being monitored remotely from Rutgers University. Other rehabilitation haptic interfaces under development include devices for elbow, and knee rehabilitation connected to the Multipurpose Haptic Control Interface.;1999;1
Human factors engineering and system design are critical elements in the newly developing field of telerehabilitation. Telerehabilitation is the remote delivery of rehabilitative services such as monitoring, training, and long-term care of persons with disabilities using telecommunications technology. This paper describes projects at the Rehabilitation Engineering Research Center (RERC) on Telerehabilitation in the context of three conceptual models: telecounseling and training, telemonitoring and assessment, and teletherapy. Issues pertaining to human factors engineering design are identified, and ongoing challenges are discussed.;1999;1
"In the last three years, the delivery of rehabilitation services at a distance by means of electronic information and communication technologies has come to be known as telerehabilitation. It is part of both the larger spectrum of telemedicine activities that have waxed, waned and waxed again since the early seventies; and the growing array of non-medical applications of consumer electronics and communication technology that can provide tele-enhancement of independent living for individuals with neurological and other disabilities. While telerehabilitation is still largely hypothetical, activities are underway at several clinical rehabilitation centers. Most commonly, inexpensive video phone connections are used to provide face-to-face two-way image and voice contact between patient and provider, but transmission of data from sensors that monitor health and rehabilitation is technically feasible and promising. Telerehabilitation provides access to quality services for patients who are immobile or geographically remote from direct service. Some view it as a means of compensating for shortened lengths of stay in acute rehabilitation hospitals, while others emphasize the cost reductions it offers. Telerehabilitation methods, both current and in-the-works, are promising but it remains to be seen whether and how the reimbursement policy-makers at HCFA and private payers will respond to its potential.";1999;1
This paper presents an overview of a group of research and development projects that constitute the Rehabilitation Engineering Research Center (RERC) on Telerehabilitation, at Catholic University of America and the National Rehabilitation Hospital in Washington, D.C., and Sister Kenny institute in Minneapolis, Minnesota. This RERC's purpose is to improve the delivery of rehabilitative services to persons who live in rural areas or who for other reasons cannot easily travel to rehabilitation hospitals. More broadly, its goal is to explore the utility of telecommunications and emerging virtual reality technologies for the benefit of persons with disabilities.;1999;1
A PC-based orthopedic rehabilitation system was developed for use at home, while allowing remote monitoring from the clinic. The home rehabilitation station has a Pentium IT PC with graphics accelerator, a Polhemus tracker, and a multipurpose haptic control interface. This novel interface is used to sample a patient's hand positions and to provide resistive forces using the Rutgers Master II (RMII) glove. A library of virtual rehabilitation routines was developed using WorldToolKit software, At the present time, it consists of three physical therapy exercises (DigiKey, ball, and power putty) and two functional rehabilitation exercises (peg board and ball game). These virtual reality exercises allow automatic and transparent patient data collection into an Oracle database. A remote Pentium II PC is connected with the home-based PC over the Internet and an additional video conferencing connection, The remote computer is running an Oracle server to maintain the patient database, monitor progress, and change the exercise level of difficulty, This allows for patient progress monitoring and repeat evaluations over time. The telerehabilitation system is in clinical trails at Stanford Medical School (CA), with progress being monitored from Rutgers University (NJ), Other haptic interfaces currently under development include devices for elbow and knee rehabilitation connected to the same system.;2000;1
"As the delivery of healthcare services within our society changes, new challenges and opportunities emerge. It is suggested that an opportunity is unfolding that could move motion analysis approaches into a new clinical practice paradigm. This involves taking advantage of emerging advances in information technologies and communications standards, and of upcoming societal investment in wireless and intelligent systems technologies. To effectively design systems that address clinical needs, certain barriers need to be overcome; strategies are suggested.";2000;1
Modem telecommunication technology (telematics) has the potential to improve the quality of life for elders with physical and mental impairments as well as for their care giving relatives. Videophones, internet resources, and multimedia computers can be used for networking them together with social workers, nurse practitioners, physicians and therapeutic staff in service-centers. This can be viewed as a unique opportunity to establish and maintain instant and personalized access to various medical services in a situation where increasing needs are opposed to decreasing resources. However, it is not yet clear whether telematics is adequate, efficient, and effective in supporting care for geriatric patients. Some studies already showed its applicability and feasibility, but there are still no larger trials showing that maintenance or enhancement of autonomy can be achieved effectively by using new technologies. This article reviews the literature on telematics in geriatrics and presents data of a tele-rehabilitation project (TeleReha, conducted at the Berlin Geriatric Center) which comprised mobility-impaired patients (N=13, mean age 72 yrs), care giving relatives (N=8), and geriatric professionals. Networking was established using ISDN technology with videophones or PC-based videoconferencing systems. Results showed that participants regard telecommunication devices as a valuable resource for their informational and communicational needs. Use of telecommunication systems was inversely related to physical mobility. Having access to professional service and counselling was rated highly important but also the opportunity to establish reliable contacts with non-professionals (relatives, other participants). Despite experienced technical problems, use of telecommunication systems was evaluated more positively in the post-test as compared to the pre-test. In summary, current experience suggests that telematics can be used efficiently by geriatric patients and by relatives and professionals caring for them. However, evidence for a medically and economically effective use is still scarce. A lack of structural and organizational concepts for geriatric telematics initiatives can be identified which in part may be due to the fact that the considerable potentials of telematics applications are still largely unrecognized by geriatricians.;2000;1
Rehabilitation interventions in remote areas are problematic because of distance and available resources. Orthopedic impairments acquired by individuals in remote areas can then lead to permanent disabilitles/loss of function because of lack of appropriate rehabilitation. A system being developed by Rutgers and Stanford Universities provides therapy at the patient's home, with remote monitoring and periodic re-assessment. This telerehabilitation system uses virtual reality and haptic interfaces, and a pair of networked PCs. It is intended for rehabilitation of patients with hand, elbow, knee and ankle impairements. Data from the first patient treated with the telerehabilitation system is encouraging.;2000;1
Telerehabilitation is defined as the application of multimedia technologies to deliver rehabilitation services to consumers at a distance - and to support independent living for individuals with disabilities. The panelists are members of the r&d team of the Rehabilitation Engineering Research Center (RERC) on Telerehabilitation, the center on this topic funded in October, 1998 by the National Institute on Disability and Rehabilitation Research (NIDRR). They address the challenges to universal usability posed by the diversity of consumers and professionals in telerehab, illustrating their comments with their own projects. They also take part in a real-time design-for-usability exercise and engage the audience in their deliberations.;2000;1
There have been several recent advances in wheelchair technology that could bring about greater mobility for people with disabilities and people who are elderly. These advances are dependent upon the proliferation of computing technology (both hardware and software), and developments in materials and their manufacturing processes. While the new designs of mobility products and the commercial experimentation with robotics technology for personal mobility are exciting, the delivery of these products to people in diverse and distributed environments must also be addressed. Telerehabilitation may provide a means for the limited expertise in the advances in mobility products to become available on a large scale.;2000;1
We established a telerehabilitation system to link staff at the University of Alberta with clinicians and students located in Two Hills, a rural community approximately 180 km east of Edmonton. From February 1996 to March 1999, the Faculty of Rehabilitation Medicine conducted a total of 254 telehealth sessions, most of which involved participants in the rehabilitation discipline. Of these connections, only 11 were unsuccessful owing to technical or telecommunication problems (i.e. 96% were successful). The average duration of a session was 1 h 15 min. There were benefits to the Faculty in the areas of clinical supervision of students, clinical consultation, undergraduate and graduate education as well as professional development. The future benefits of such an initiative will depend on how well we address challenges pertaining to training, human resource and infrastructure.;2000;1
A data glove is a typical input device to control a virtual environment. At the same time it measures movements of wrist and fingers. The purposes of this investigation were to assess the ability of BrainMaker (TM), a neural network, to recognize movement patterns during an opposition task that consisted of repetitive self-paced movements of the fingers in opposition to the thumb. The neural network contained 56 inputs, 3 hidden layers of 20 neurons, and one output. The 5th glove '95 (TM) (5DT), a commercial glove especially designed for virtual reality games, was used for finger motion capture. The training of the neural network was successful for recognizing the thumb, the index finger and the ring finger movements during the repetitive self-paced movements and neural network performed well during testing.;2001;1
Brain injury as a result of stroke and trauma is a leading cause of disability in the U.S. Unfortunately, little technology is currently available for individuals with brain injury to practice and monitor therapy on their own at home. This paper describes an inexpensive robotic telerehabilitation system for arm and hand therapy following brain injury. Java Therapy is a Web site with a library of evaluation and therapy activities. The activities can be performed with a commercial force feedback joystick, and the joystick can physically assist or resist in movement as the user performs therapy. The system also provides quantitative feedback of movement performance, allowing users and their caregivers to assess rehabilitation progress via the Web.;2001;1
