Does school average achievement explain the effect of socioeconomic status on math and reading interest? A test of the Information Distortion Model;Based on the Information Distortion Model (IDM), we hypothesized higher academic interest among low socioeconomic (SES) Australian children compared to equally able high SES Australian children. We extend the IDM in two ways. First, the IDM is a model of school selection and thus empirical evidence of its effect needs to come from a model that controls for achievement prior to school selection. Second, the mechanism of the IDM is presumed to be the big-fish-little-pond-effect (BFLPE), which has not been tested. We used a longitudinal representative sample of first-year high-school students (age similar to 12, N = 2507). We linked student high-school survey data to the whole of school and individual student administrative records of achievement from high stakes national standardized tests in elementary and high-school. Our results were consistent with IDM for math interest but more mixed for reading interest, suggesting that additional processes may be in operation.
How do student and school resources influence civic knowledge? Evidence from three cohorts of Australian tenth graders;Students from less fortunate families and in less advantaged schools often perform worse than their more advantaged peers. The Australian Labor Government (2007-2013) initiated the Building the Education Revolution to establish a more effective and just education system, reaching a meaningful consensus on the development of active and informed citizens across all Australian states and territories. Using nationally representative data, this study examines how student background, school context, and school composition are associated with civic knowledge, whether students from low-status families are particularly disadvantaged in schools with more advantaged peers (big-fish-little-pond effect), and whether and how these associations have changed between 2007 and 2013. The results of multiple-group multilevel linear regression models suggest that student background and school characteristics are associated with civic knowledge, and that school characteristics moderate the associations between civic knowledge and school composition. Taken together, the data provide little evidence that the disparities in civic knowledge due to socioeconomic inequalities have declined over time. These inequities are problematic as gaps in civic knowledge can affect the quality of democracy, particularly in a country where voting is mandatory. The reproduction of educational inequality remains a challenge for social and educational policy in Australia.
Do Tunisian Children Have an Equal Chance to Access to School 8 Years After Revolution?;Early childhood education is widely considered as the most important indicator of human capital, and it is powerfully related to economic development. In this paper, we try to study the extent of inequality of opportunity when a number of circumstances beyond individual's control, such as family background, gender, and place of birth, can affect the access to basic education among Tunisian children. Using recent data for different periods, we calculate the dissimilarity index (D-index) for the basic education. Inequality gap has been detected between regions in 2018 and tends to increase over time since 2010. Residence area, father's education, and child's sex are the most contributing variables to access education inequality. Without policy intervention, there are a few chances for the next generation to overcome this trap of inequality.
Magnifying inequality? Home learning environments and social reproduction during school closures in Ireland;COVID-19 school closures have seen the homeplace become a school-place for students and their families in Ireland. This paper presents research on the resources and supports available for students to engage with learning in their home environments. Evidence from a nationally representative survey comprising one third of second-level school leaders, conducted during the first school closures in 2020, shows that attendance and engagement appears to be influenced by the educational level of parents/guardians. The association between parental education and student engagement was stronger for Junior Certificate students but was not statistically evidenced for Leaving Certificate students. Qualitative evidence sheds further light on inequalities which characterised students' experiences of online and remote learning. Viewing these developments through a social reproduction framework, this study argues that unequal home learning environments may magnify existing inequalities. To prevent a return to the classroom with more classed outcomes, it is imperative that policy, planning and investment strive to mitigate the impact of COVID-19 on educational inequality.
Sorting or mixing? Multi-track and single-track schools and social inequalities in a differentiated educational system;In the Dutch stratified secondary educational system, schools vary in how many tracks are offered. While the tendency in the Netherlands is for schools to become smaller, a relevant policy question is whether multi-track school settings promote equality of educational opportunity. Comparing single-track schools at the pre-university and pre-vocational levels with multi-track schools offering the same exams, and using relative geographical distance as an instrument of school choice, the analyses showed that single-track pre-university schools enhance the probability of obtaining a pre-university diploma without delay, but more strongly so for students from disadvantaged backgrounds (who have a lower chance of going to such schools). The single-track pre-vocational schools were associated with a lower likelihood of achieving a diploma at a level higher than pre-vocational education. Multi-track schools within a varied system will not automatically enhance equal opportunities, as middle-class children will also benefit from the additional options that multi-track schools provide.
Can adolescents provide valid information on parents' educational attainment in standardized surveys? Results from a survey conducted in grade 9 in Germany;"The paper examines the accuracy of students' reports on parental education and discusses the cognitive model of survey response. For the empirical part, we used data from the German National Educational Panel Study collected in grade 9 in 2009/10, and analyzed students' and parents' reports using multinomial logit models. About 20 to 25% of students did not provide any information on their mother's or father's educational attainment; about 25% provided answers that were inconsistent with parents' reports; and close to 50% answered consistently with their parents. In line with theory, better vocabulary skills were connected with lower item nonresponse and a higher number of correct answers. Many students did not answer if their parents had completed their education abroad: Either students did not know the answer or were not able to give the German equivalent. Contrary to theoretical arguments and previous findings, the results suggest that conscientiousness and frequent discussions with parents are irrelevant. Additionally, we compared the degree of social inequality in numeracy using students' and parents' reports on parental education. The results show that models using students' reports significantly underestimate educational inequalities."
Racist-Blind, Not Color-Blind by Design: Confronting Systemic Racism in Our Educational Past, Present, and Future;This History of Education Society Presidential Address comes at the society's sixtieth anniversary and provides a new conceptual framework that foregrounds recognizing a racist-blind, and not a color-blind, ideology in the intentional and unequal design our educational past and present. It highlights systemic racism brought on by the dual pandemic moments of COVID-19 and global racial unrest, with a call to action for educational historians to lead in promoting systemic, institutional changes.
The contribution of the International Baccalaureate Diploma to educational inequalities: reinventing historical logics of curriculum stratification in a comprehensive system;International education options have expanded in most school systems around the world with promises of curricular innovation. However, there has been limited attention given to the consequences of this shift for social inequalities embedded in pre-existing institutional hierarchies. The International Baccalaureate (IB) Diploma, a two-year high school curriculum, has been prominent among recent private curricula, centred on notions of international mindedness and global preparedness. This article seeks to examine the consequences of the presence of the IB Diploma in a school system that is socioeconomically and academically stratified and shaped by strategies of academic distinction focused on local hierarchies. Using quantitative data on IB Diploma students and schools in Australia, it analyses the interaction of the IB Diploma with social inequalities in a system that combines a high level of between-school stratification and a comprehensive (unified) curriculum. We show how the IB Diploma has been successfully used by socially dominant and academically powerful families to consolidate their academic capital and secure educational advantage, thus contributing to the reproduction of social inequality in domestic circuits of schooling. Against its perceived innovative status, the IB Diploma has paradoxically contributed to fostering traditional forms of schooling - including within-school tracking - and a narrowing of the curriculum - including through its strong focus on examinations. It is argued that the social impact of emerging international curriculum options can only be adequately understood if they are simultaneously contextualised within historically constituted local school and curriculum hierarchies.
Educational ICT use outside school in the European Union: disparities by social origin, immigrant background, and gender;This paper analyzes inequalities in using information and communication technologies (ICTs) for educational activities outside school by social origin, immigrant background, and gender. It examines whether these inequalities just work additively or whether certain combinations of these groups are associated with specific advantages or disadvantages and which factors drive these differences. Data from the EU sample of the Programme for International Student Assessment (PISA) 2018 are used for the empirical analyses. The results show that male students with immigrant background and highly educated parents have the highest frequency of educational ICT use, while native female students with less educated parents show the lowest frequency. However, the group categories also interact: An academic family background is more advantageous for students with immigrant background and for boys than for native students and girls. The male advantage can be attributed to a general higher frequency of boys using ICTs in their free time, while the advantage of an academic family background is mainly due to a better endowment with educational resources at home. Implications for research and practice are discussed.
BETTER TOGETHER? HETEROGENEOUS EFFECTS OF TRACKING ON STUDENT ACHIEVEMENT;I study the effects of early between-school ability tracking on student achievement. My research design exploits institutional differences between German federal states: in all states about 40% of students transition to separate academic-track schools after comprehensive primary school. Depending on the state, the remaining student body is either directly tracked between two additional school types or taught comprehensively for another two years. Comparing these students before and after tracking in a triple-differences framework, I find evidence for positive effects of prolonged comprehensive schooling on mathematics and reading scores. The average effects are almost entirely driven by low achievers, while effects for high achievers are null. Early and rigid forms of tracking can thus impair both the equity and the efficiency of school systems.
