Abstract;Year;abs
In recent years Internet became an indispensable part of our modem society and it is an undeniable reality that it will continue to play a decisive role in various aspects of our modem life. It is used educationally to wipe the imbalance of teaching and to decrease the cost of education. This paper gives a detailed look about what the distance education is and the comparison of currently used systems for distance education. We have implemented a new distance education model named DEU-DEU that structured completely by database-oriented components. Our database contains administrators instructors and students information and also consists of all materials related to education. And finally we give our systems' advantages and possible problems and the solutions to these problems.;2002;ın recent years ınternet became an indispensable part of our modem society and it is an undeniable reality that it will continue to play a decisive role in various aspects of our modem life. ıt is used educationally to wipe the imbalance of teaching and to decrease the cost of education. this paper gives a detailed look about what the distance education is and the comparison of currently used systems for distance education. we have implemented a new distance education model named deu-deu that structured completely by database-oriented components. our database contains administrators instructors and students information and also consists of all materials related to education. and finally we give our systems' advantages and possible problems and the solutions to these problems.
There have been many technological dawns in the last 30 years during which the desktop computer and the Internet have been developed. The importance of Internet in education particularly using its Web is a well-recognized fact. A wealth of resources and techniques now exist which serve as a source both for exciting examples of new teaching practices as well as easily accessible methods for adoption into various formats of teaching and learning. Internet technology allow teachers and students keep up with their minds. It let them try their ideas as soon as they come up with them. Generally students appreciate the convenience choice and flexibility that an online courses offers. Instructional designers value the standardized framework and flexibility. WebMathematica is a web-based technology developed by Wolfram Research that allows the generation of dynamic web content with Mathematica. With this technology the distance education students should be able to explore and experiment with the mathematical concepts. In this paper we will elucidate the pedagogical issues in the application of Hamiltonian systems in the webMathematica for the distance learning environment and the shape of the future classroom as well as relevant educational strategies towards improving mathematics education.;2003;there have been many technological dawns in the last 30 years during which the desktop computer and the ınternet have been developed. the importance of ınternet in education particularly using its web is a well-recognized fact. a wealth of resources and techniques now exist which serve as a source both for exciting examples of new teaching practices as well as easily accessible methods for adoption into various formats of teaching and learning. ınternet technology allow teachers and students keep up with their minds. ıt let them try their ideas as soon as they come up with them. generally students appreciate the convenience choice and flexibility that an online courses offers. ınstructional designers value the standardized framework and flexibility. webmathematica is a web-based technology developed by wolfram research that allows the generation of dynamic web content with mathematica. with this technology the distance education students should be able to explore and experiment with the mathematical concepts. ın this paper we will elucidate the pedagogical issues in the application of hamiltonian systems in the webmathematica for the distance learning environment and the shape of the future classroom as well as relevant educational strategies towards improving mathematics education.
This paper presents an overview of the design and implementation of an Activity Planning and Progress Following Tool (APT) for e-learning. APT is a software based support tool designed to assist learners with their self directed distance learning (SDDL). A literature survey for the additional components of Learning Management Systems (LMS) that are needed for SDDL is conducted. As a result the importance of planning feedback and resources proper-ties are revealed. In the continuation of the study APT was developed by adding Recommended Study Time Periods Resources Study Planning User Goals and Progress Report modules to the Content Administration Tool (CAT) which was developed before in another study.;2003;this paper presents an overview of the design and implementation of an activity planning and progress following tool (apt) for e-learning. apt is a software based support tool designed to assist learners with their self directed distance learning (sddl). a literature survey for the additional components of learning management systems (lms) that are needed for sddl is conducted. as a result the importance of planning feedback and resources proper-ties are revealed. ın the continuation of the study apt was developed by adding recommended study time periods resources study planning user goals and progress report modules to the content administration tool (cat) which was developed before in another study.
In order to benefit from e-learning companies should conduct considerable up-front analysis to assess their readiness. There are a number of instruments in the market that can be used for assessing readiness for e-learning. However almost all of these instruments are developed to be used in countries that have a mature field of human resources development. So these instruments consist of terms phrases and applications that are meaningless for many companies in especially emerging countries where human resources development field has just shown an improvement. This article includes the description of a survey instrument that has been developed to assess e-learning readiness of companies in these kinds of countries and the results of a study that examines organizational readiness of companies for e-learning in Turkey. The study reveals that companies surveyed are overall ready for e-learning but they need to improve need to improve themselves particularly in the area of human resources in order to be able to successfully implement e-learning. Although this instrument has been developed according to the cultural characteristics of Turkish companies it can easily be adapted to be used by companies of other emerging countries.;2005;ın order to benefit from e-learning companies should conduct considerable up-front analysis to assess their readiness. there are a number of instruments in the market that can be used for assessing readiness for e-learning. however almost all of these instruments are developed to be used in countries that have a mature field of human resources development. so these instruments consist of terms phrases and applications that are meaningless for many companies in especially emerging countries where human resources development field has just shown an improvement. this article includes the description of a survey instrument that has been developed to assess e-learning readiness of companies in these kinds of countries and the results of a study that examines organizational readiness of companies for e-learning in turkey. the study reveals that companies surveyed are overall ready for e-learning but they need to improve need to improve themselves particularly in the area of human resources in order to be able to successfully implement e-learning. although this instrument has been developed according to the cultural characteristics of turkish companies it can easily be adapted to be used by companies of other emerging countries.
This paper explores the use of e-learning technologies for organisational learning within a commercial environment. A model has been developed to represent those factors that determine organisational learning. This model has been embedded within a case study based on the use of an e-learning program that was developed in order to enhance employees' knowledge and endorse corporate values within a Norwegian company. The results of the study reflect the high performance of the e-learning program. They also highlight critical issues concerning the successful implementation of e-learning technologies to achieve the knowledge sharing that is required for organisational learning.;2005;this paper explores the use of e-learning technologies for organisational learning within a commercial environment. a model has been developed to represent those factors that determine organisational learning. this model has been embedded within a case study based on the use of an e-learning program that was developed in order to enhance employees' knowledge and endorse corporate values within a norwegian company. the results of the study reflect the high performance of the e-learning program. they also highlight critical issues concerning the successful implementation of e-learning technologies to achieve the knowledge sharing that is required for organisational learning.
On-line collaboration is an instructional method that facilitates collaboration in an on-line learning setting. To promote effective collaboration it is vital to reveal both the student's and the instructor's point of view pertaining to effective on-line collaboration. In this study the effectiveness of a learning management system in on-line collaboration was first investigated in a graduate course offered through the means of distance learning. In this first phase of this study the nature of collaboration the students perceptions of the effectiveness of the tool in on-line collaboration the factors contributing to effective peer interaction among students and the role of the instructor as perceived by the students in the on-line course were explored. This phase of the study also involved the reviews of other learning management systems course management systems and groupware systems regarding the tools used to encourage collaboration. Also revealed was a lack of diversity in collaboration tools. Based on these preliminary findings an on-line document reviewing tool was developed and pilot tested in the second phase of the study. In this phase a web-based synchronous collaborative review tool called WebSCoRe is proposed to promote online collaboration. WebSCoRe is proposed as an attempt to develop and implement a new platform for on-line document reviewing to promote effective on-line collaboration among students and the instructor.;2006;on-line collaboration is an instructional method that facilitates collaboration in an on-line learning setting. to promote effective collaboration it is vital to reveal both the student's and the instructor's point of view pertaining to effective on-line collaboration. ın this study the effectiveness of a learning management system in on-line collaboration was first investigated in a graduate course offered through the means of distance learning. ın this first phase of this study the nature of collaboration the students perceptions of the effectiveness of the tool in on-line collaboration the factors contributing to effective peer interaction among students and the role of the instructor as perceived by the students in the on-line course were explored. this phase of the study also involved the reviews of other learning management systems course management systems and groupware systems regarding the tools used to encourage collaboration. also revealed was a lack of diversity in collaboration tools. based on these preliminary findings an on-line document reviewing tool was developed and pilot tested in the second phase of the study. ın this phase a web-based synchronous collaborative review tool called webscore is proposed to promote online collaboration. webscore is proposed as an attempt to develop and implement a new platform for on-line document reviewing to promote effective on-line collaboration among students and the instructor.
This study analyzed the factors that affect student success in an online computer programming course. The study had two with two main objectives. The first was to examine relationships among selected variables (gender age educational level locus of control and learning style) motivational beliefs (intrinsic goal orientation extrinsic goal orientation control beliefs task value self-efficacy and test anxiety) self-regulated learning components (cognitive strategy use self-regulation) and student success in the online course. The second objective was to examine course instructors' views about the factors that contribute to the students' success in the online course. The study sample consisted of two course instructors and 80 voluntary participants who partook in this online course in 2005-2006. Both quantitative and qualitative methods were used to collect relevant data in this study. Four online questionnaires (Demographic Survey Internal-External Locus of Control Scale Learning Style Inventory and Motivated Strategies for Learning Questionnaire) were used to gather data on quantitative variables and semi-structured interviews were conducted to gather data on instructors' views. The statistical results indicated that the effect of the self-regulation variables on students' success was statistically significant and the interview results indicated that successful students generally used self-regulated learning strategies in the online course.;2007;this study analyzed the factors that affect student success in an online computer programming course. the study had two with two main objectives. the first was to examine relationships among selected variables (gender age educational level locus of control and learning style) motivational beliefs (intrinsic goal orientation extrinsic goal orientation control beliefs task value self-efficacy and test anxiety) self-regulated learning components (cognitive strategy use self-regulation) and student success in the online course. the second objective was to examine course instructors' views about the factors that contribute to the students' success in the online course. the study sample consisted of two course instructors and 80 voluntary participants who partook in this online course in 2005-2006. both quantitative and qualitative methods were used to collect relevant data in this study. four online questionnaires (demographic survey ınternal-external locus of control scale learning style ınventory and motivated strategies for learning questionnaire) were used to gather data on quantitative variables and semi-structured interviews were conducted to gather data on instructors' views. the statistical results indicated that the effect of the self-regulation variables on students' success was statistically significant and the interview results indicated that successful students generally used self-regulated learning strategies in the online course.
This study is a presentation of the usage of distance education technologies in a bid to support face to face education of tourist guide candidates during the training tour. The laws require tourist guide candidates to successfully complete their internship tour and get a certificate. Since the time in this internship period is limited and there are restricting factors such as transportation accommodation many of the tourism places couldn't be included in this internship period. Besides the lack of experienced and competent guides in the visited places is also another negative factor reducing the quality and efficiency of the training. Technological support of the training of tourist guide candidates would effectively reduce the negativities of traditional education methods. Thus benefiting from computer technologies and audiovisual systems during the internship of tourist guide candidates would result in an increase in the effectiveness and usefulness of the training tour and would make it possible to visit more places in a shorter period. This study is a presentation on how distance education method could be implemented and an attempt to show the benefits could be obtained from implementation of these methods along with the possible problems that are predicted to arise.;2007;this study is a presentation of the usage of distance education technologies in a bid to support face to face education of tourist guide candidates during the training tour. the laws require tourist guide candidates to successfully complete their internship tour and get a certificate. since the time in this internship period is limited and there are restricting factors such as transportation accommodation many of the tourism places couldn't be included in this internship period. besides the lack of experienced and competent guides in the visited places is also another negative factor reducing the quality and efficiency of the training. technological support of the training of tourist guide candidates would effectively reduce the negativities of traditional education methods. thus benefiting from computer technologies and audiovisual systems during the internship of tourist guide candidates would result in an increase in the effectiveness and usefulness of the training tour and would make it possible to visit more places in a shorter period. this study is a presentation on how distance education method could be implemented and an attempt to show the benefits could be obtained from implementation of these methods along with the possible problems that are predicted to arise.
All-optical wavelength-routed WDM WANs can support the high bandwidth and the long session duration requirements of the application scenarios such as interactive distance learning or on-line diagnosis of patients simultaneously in different hospitals. However multifiber and limited sparse light splitting and wavelength conversion capabilities of switches result in a difficult optimization problem. We attack this problem using a layered graph model. The problem is defined as a k-edge-disjoint degree-constrained Steiner tree problem for routing and fiber and wavelength assignment of k multicasts. A mixed integer linear programming formulation for the problem is given and a solution using CPLEX is provided. However the complexity of the problem grows quickly with respect to the number of edges in the layered graph which depends on the number of nodes fibers wavelengths and multicast sessions. Hence we propose two heuristics layered all-optical multicast algorithm [( LAMA) and conservative fiber and wavelength assignment (C-FWA)] to compare with CPLEX existing work and unicasting. Extensive computational experiments show that LAMA's performance is very close to CPLEX and it is significantly better than existing work and C-FWA for nearly all metrics since LAMA jointly optimizes routing and fiber-wavelength assignment phases compared with the other candidates which attack the problem by decomposing two phases. Experiments also show that important metrics (e. g. session and group blocking probability transmitter wavelength and fiber conversion resources) are adversely affected by the separation of two phases. Finally the fiber- wavelength assignment strategy of C-FWA (Ex-Fit) uses wavelength and fiber conversion resources more effectively than the First Fit. (c) 2007 Optical Society of America.;2007;all-optical wavelength-routed wdm wans can support the high bandwidth and the long session duration requirements of the application scenarios such as interactive distance learning or on-line diagnosis of patients simultaneously in different hospitals. however multifiber and limited sparse light splitting and wavelength conversion capabilities of switches result in a difficult optimization problem. we attack this problem using a layered graph model. the problem is defined as a k-edge-disjoint degree-constrained steiner tree problem for routing and fiber and wavelength assignment of k multicasts. a mixed integer linear programming formulation for the problem is given and a solution using cplex is provided. however the complexity of the problem grows quickly with respect to the number of edges in the layered graph which depends on the number of nodes fibers wavelengths and multicast sessions. hence we propose two heuristics layered all-optical multicast algorithm [( lama) and conservative fiber and wavelength assignment (c-fwa)] to compare with cplex existing work and unicasting. extensive computational experiments show that lama's performance is very close to cplex and it is significantly better than existing work and c-fwa for nearly all metrics since lama jointly optimizes routing and fiber-wavelength assignment phases compared with the other candidates which attack the problem by decomposing two phases. experiments also show that important metrics (e. g. session and group blocking probability transmitter wavelength and fiber conversion resources) are adversely affected by the separation of two phases. finally the fiber- wavelength assignment strategy of c-fwa (ex-fit) uses wavelength and fiber conversion resources more effectively than the first fit. (c) 2007 optical society of america.
The proliferation of the Internet and World Wide Web applications has created new opportunities as well as new challenges for institutions and individuals who are either receiving or delivering education. Electronic (e) learning is one of the most important developments in education. It recognizes the shift from teaching to learning and puts the learner or user before the institution. The objectives and expected outcomes of e-learning are largely dependent on the quality of the teaching processes and the effectiveness of online access. Hence assessing methods for the effectiveness of e-learning Web sites are a critical issue in both practice and research. However Web site quality is a complex concept and its measurement is expected to be multidimensional in nature. Multicriteria decision-making (MCDM) techniques are widely used for evaluating and ranking such problems containing multiple usually conflicting criteria. For this reason this article presents a quality evaluation model based on the MCDM to measure the e-learning Web sites' performance. In addition the subjectivity and vagueness in the assessment process are dealt with using fuzzy logic. The study has investigated 10 worldwide and 11 locally successful Web sites with the proposed method. By suggesting an aggregated measure based on the Web site quality criteria it is expected that the method could be useful to the e-learning service providers and system developers as well as to the researchers related with Web research. (c) 2007 Wiley Periodicals Inc.;2007;the proliferation of the ınternet and world wide web applications has created new opportunities as well as new challenges for institutions and individuals who are either receiving or delivering education. electronic (e) learning is one of the most important developments in education. ıt recognizes the shift from teaching to learning and puts the learner or user before the institution. the objectives and expected outcomes of e-learning are largely dependent on the quality of the teaching processes and the effectiveness of online access. hence assessing methods for the effectiveness of e-learning web sites are a critical issue in both practice and research. however web site quality is a complex concept and its measurement is expected to be multidimensional in nature. multicriteria decision-making (mcdm) techniques are widely used for evaluating and ranking such problems containing multiple usually conflicting criteria. for this reason this article presents a quality evaluation model based on the mcdm to measure the e-learning web sites' performance. ın addition the subjectivity and vagueness in the assessment process are dealt with using fuzzy logic. the study has investigated 10 worldwide and 11 locally successful web sites with the proposed method. by suggesting an aggregated measure based on the web site quality criteria it is expected that the method could be useful to the e-learning service providers and system developers as well as to the researchers related with web research. (c) 2007 wiley periodicals ınc.
