Date,Open,High,Low,Close,Volume
19.05.1927,123.327,123.371,123.159,123.330,879
20.05.1927,123.330,123.379,123.216,123.252,798
21.05.1927,123.249,123.250,123.159,123.173,535
22.05.1927,123.174,123.214,123.154,123.170,805
23.05.1927,123.170,123.173,122.844,123.021,649
24.05.1927,123.021,123.050,122.864,122.951,475
25.05.1927,122.950,123.083,122.947,123.032,1086
26.05.1927,123.032,123.065,122.997,123.041,721
27.05.1927,123.041,123.069,122.974,122.981,918
28.05.1927,122.980,122.983,122.940,122.970,376
29.05.1927,122.970,123.067,122.968,123.030,583
30.05.1927,123.036,123.121,123.009,123.118,575
31.05.1927,123.117,123.121,123.075,123.084,289
1.06.1927,123.079,123.305,123.064,123.237,531
2.06.1927,123.237,123.292,123.133,123.133,341
3.06.1927,123.132,123.132,122.925,123.055,542
4.06.1927,123.055,123.207,123.046,123.190,357
5.06.1927,123.190,123.304,123.166,123.243,285
6.06.1927,123.243,123.308,123.202,123.278,357
7.06.1927,123.278,123.278,123.207,123.220,149
8.06.1927,123.222,123.223,123.187,123.188,172
9.06.1927,123.188,123.223,123.166,123.194,259
10.06.1927,123.194,123.205,123.169,123.174,221
11.06.1927,123.171,123.218,123.122,123.199,322
12.06.1927,123.199,123.265,123.190,123.190,283
13.06.1927,123.189,123.216,123.123,123.208,380
14.06.1927,123.207,123.351,123.196,123.328,487
15.06.1927,123.324,123.393,123.302,123.353,399
16.06.1927,123.353,123.391,123.326,123.336,301
17.06.1927,123.336,123.396,123.335,123.353,378
18.06.1927,123.353,123.385,123.343,123.373,206
19.06.1927,123.372,123.381,123.359,123.376,166
20.06.1927,123.376,123.388,123.365,123.385,67
21.06.1927,123.385,123.422,123.376,123.407,122
22.06.1927,123.407,123.551,123.405,123.543,220
23.06.1927,123.543,123.579,123.542,123.567,366
24.06.1927,123.567,123.574,123.382,123.429,320
25.06.1927,123.429,123.436,123.342,123.405,309
26.06.1927,123.404,123.418,123.401,123.414,100
27.06.1927,123.414,123.475,123.408,123.468,73
28.06.1927,123.468,123.491,123.384,123.387,130
29.06.1927,123.387,123.389,123.356,123.360,137
30.06.1927,123.360,123.383,123.340,123.381,114
1.07.1927,123.379,123.382,123.303,123.303,143
2.07.1927,123.303,123.359,123.274,123.354,126
3.07.1927,123.354,123.374,123.354,123.366,32
4.07.1927,123.366,123.371,123.364,123.364,26
5.07.1927,123.364,123.364,123.347,123.352,25
6.07.1927,123.352,123.375,123.352,123.370,63
7.07.1927,123.370,123.383,123.363,123.369,48
8.07.1927,123.369,123.392,123.321,123.350,173
9.07.1927,123.350,123.362,123.295,123.343,175
10.07.1927,123.343,123.385,123.340,123.352,299
11.07.1927,123.352,123.378,123.319,123.325,321
12.07.1927,123.326,123.383,123.296,123.382,255
13.07.1927,123.382,123.435,123.347,123.352,357
14.07.1927,123.352,123.355,123.316,123.321,277
15.07.1927,123.324,123.373,123.317,123.364,148
16.07.1927,123.364,123.380,123.347,123.354,149
17.07.1927,123.354,123.482,123.353,123.439,281
18.07.1927,123.439,123.479,123.381,123.419,345
19.07.1927,123.413,123.534,123.292,123.433,571
20.07.1927,123.433,123.438,123.376,123.407,269
21.07.1927,123.405,123.417,123.381,123.408,283
22.07.1927,123.408,123.528,123.406,123.476,479
23.07.1927,123.476,123.556,123.467,123.522,531
24.07.1927,123.522,123.597,123.460,123.464,408
25.07.1927,123.464,123.537,123.437,123.532,517
26.07.1927,123.534,123.633,123.521,123.600,557
27.07.1927,123.599,123.695,123.560,123.621,380
28.07.1927,123.621,123.696,123.588,123.696,264
29.07.1927,123.698,123.719,123.410,123.410,630
30.07.1927,123.408,123.408,123.312,123.315,384
31.07.1927,123.319,123.476,123.258,123.451,1352
1.08.1927,123.451,123.682,123.417,123.546,804
2.08.1927,123.546,123.709,123.541,123.615,532
3.08.1927,123.615,123.632,123.502,123.505,454
4.08.1927,123.505,123.565,123.424,123.506,967
5.08.1927,123.506,123.567,123.455,123.502,775
6.08.1927,123.502,123.510,123.249,123.355,1021
7.08.1927,123.355,123.496,123.354,123.485,882
8.08.1927,123.485,123.496,123.364,123.476,876
9.08.1927,123.476,123.499,123.205,123.305,715
10.08.1927,123.305,123.397,123.064,123.081,734
11.08.1927,123.081,123.100,122.786,122.997,966
12.08.1927,123.001,123.232,122.998,123.185,900
13.08.1927,123.174,123.408,123.126,123.393,803
14.08.1927,123.397,123.671,123.385,123.581,975
15.08.1927,123.581,123.586,123.419,123.565,985
16.08.1927,123.565,123.704,123.473,123.473,765
17.08.1927,123.471,123.699,123.471,123.694,595
18.08.1927,123.694,123.706,123.495,123.561,768
19.08.1927,123.561,123.732,123.561,123.644,560
20.08.1927,123.644,123.700,123.598,123.657,335
21.08.1927,123.657,123.666,123.521,123.541,472
22.08.1927,123.541,123.652,123.517,123.611,533
23.08.1927,123.611,123.674,123.541,123.610,547
24.08.1927,123.610,123.618,123.332,123.406,791
25.08.1927,123.408,123.498,123.404,123.422,664
26.08.1927,123.422,123.489,123.383,123.473,520
27.08.1927,123.473,123.479,123.147,123.162,816
28.08.1927,123.162,123.205,122.973,122.994,714
29.08.1927,122.993,123.034,122.901,122.971,637
30.08.1927,122.972,122.986,122.677,122.712,640
31.08.1927,122.717,122.805,122.688,122.744,430
1.09.1927,122.744,122.832,122.583,122.631,681
2.09.1927,122.631,122.721,122.616,122.699,399
3.09.1927,122.699,122.746,122.699,122.717,206
4.09.1927,122.718,122.752,122.622,122.733,321
5.09.1927,122.733,122.740,122.647,122.655,436
6.09.1927,122.653,122.837,122.652,122.811,666
7.09.1927,122.811,122.991,122.802,122.886,568
8.09.1927,122.886,122.886,122.656,122.780,471
9.09.1927,122.780,123.006,122.696,122.799,727
10.09.1927,122.799,123.024,122.774,123.004,429
11.09.1927,123.004,123.104,122.957,122.971,323
12.09.1927,122.971,123.144,122.830,123.134,510
13.09.1927,123.134,123.348,123.124,123.196,514
14.09.1927,123.196,123.240,123.035,123.050,584
15.09.1927,123.050,123.086,122.804,122.864,726
16.09.1927,122.864,122.956,122.779,122.944,829
17.09.1927,122.944,123.061,122.787,122.976,885
18.09.1927,122.976,123.010,122.756,122.919,483
19.09.1927,122.919,122.990,122.859,122.979,336
20.09.1927,122.980,123.041,122.703,122.881,700
21.09.1927,122.889,122.937,122.808,122.870,525
22.09.1927,122.870,122.921,122.818,122.856,850
23.09.1927,122.856,122.921,122.795,122.795,522
24.09.1927,122.795,122.922,122.795,122.913,313
25.09.1927,122.913,123.109,122.872,123.091,827
26.09.1927,123.091,123.125,123.026,123.056,590
27.09.1927,123.055,123.068,122.977,122.980,542
28.09.1927,122.980,123.328,122.901,123.309,938
29.09.1927,123.309,123.329,123.088,123.112,1168
30.09.1927,123.112,123.406,123.055,123.055,878
1.10.1927,123.054,123.243,123.040,123.167,790
2.10.1927,123.167,123.220,122.989,123.104,859
3.10.1927,123.109,123.306,123.055,123.294,701
4.10.1927,123.294,123.337,123.090,123.214,913
5.10.1927,123.214,123.311,123.213,123.276,755
6.10.1927,123.276,123.311,123.148,123.258,791
7.10.1927,123.260,123.262,122.988,123.012,869
8.10.1927,123.013,123.043,122.814,122.843,998
9.10.1927,122.842,122.843,122.732,122.763,864
